Idade,Grau de escolaridade,Estado civil,"Estado onde mora atualmente ( SIGLA ) Exemplo PR, GO, SC",Você trabalha atualmente?,Qual é sua faixa salarial mensal?,"Qual é a sua principal queixa hoje em relação à sua pele, cabelo ou aparência? Exemplo: acne, manchas, ressecamento, oleosidade, queda de cabelo, estrias, cicatrizes (Selecione todas as opções que se aplicam)",Há quanto tempo isso te incomoda?,Como você classificaria o impacto disso na sua autoestima?,Você já usa algum produto de beleza?,Quais produtos de beleza você usa atualmente? (Selecione todas as opções que se aplicam),Quais cuidados de beleza você faz hoje? (Selecione todas as opções que se aplicam),"Se você pudesse comprar uma solução que resolvesse seu problema estético, você compraria?",Até quanto você estaria disposto(a) a pagar para resolver esse problema?,"Se faz faculdade ou especialização qual curso ? Se a reposta for NÃO, digite apenas NÃO",Você faz faculdade ou especialização atualmente?,Já fez algum tratamento profissional para resolver essa queixa?
29,Ensino Médio completo,Casado,GO,Não,2.000 – 3.000,Acne; Oleosidade,6 meses,Médio,Não,Sérum; Protetor solar,Dieta; Skincare,NÃO,Até R$100,Direito,Sim,Não
40,Pós-graduação,Solteiro,SC,Sim,2.000 – 3.000,Queda de cabelo; Ressecamento; Manchas; Acne,6 meses,Baixo,Sim,Protetor solar; Hidratante; Sérum,Atividade física; Skincare; Dieta,NÃO,R$201 – R$300,Medicina,Não,Não
32,Ensino Fundamental completo,Casado,PR,Não,5.000 – 7.000,Queda de cabelo; Oleosidade; Manchas; Ressecamento; Acne,2 anos,Baixo,Sim,Protetor solar; Sérum; Hidratante,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Não,Não,Não
45,Ensino Superior completo,Casado,RJ,Não,3.000 – 4.000,Oleosidade; Queda de cabelo; Acne; Manchas; Ressecamento,1 mês,Alto,Não,Hidratante; Sérum; Protetor solar,Atividade física; Skincare; Dieta,SIM,Até R$100,Engenharia,Não,Não
51,Ensino Médio completo,Solteiro,MG,Não,5.000 – 7.000,Queda de cabelo; Acne; Oleosidade; Manchas; Ressecamento,2 anos,Baixo,Não,Sérum; Protetor solar; Hidratante,Dieta; Skincare; Atividade física,SIM,R$201 – R$300,Não,Sim,Não
19,Ensino Médio completo,Casado,MG,Não,Até 2.000,Ressecamento; Manchas,1 ano,Médio,Sim,Sérum; Hidratante,Atividade física; Dieta,SIM,R$301 – R$500,Engenharia,Sim,Sim
49,Ensino Superior incompleto,União Estável,SP,Sim,2.000 – 3.000,Queda de cabelo; Oleosidade; Acne; Manchas; Ressecamento,1 ano,Baixo,Não,Protetor solar; Sérum; Hidratante,Atividade física; Skincare; Dieta,NÃO,R$201 – R$300,Engenharia,Não,Sim
40,Pós-graduação,Divorciado,MG,Sim,3.000 – 4.000,Ressecamento; Oleosidade; Acne,1 ano,Baixo,Não,Sérum; Protetor solar; Hidratante,Dieta; Skincare; Atividade física,NÃO,R$101 – R$200,Engenharia,Não,Sim
39,Ensino Médio completo,Casado,MG,Sim,5.000 – 7.000,Manchas; Oleosidade; Queda de cabelo; Ressecamento,6 meses,Médio,Não,Protetor solar; Sérum; Hidratante,Atividade física; Dieta; Skincare,SIM,R$301 – R$500,Engenharia,Sim,Sim
42,Ensino Fundamental completo,Solteiro,RJ,Sim,5.000 – 7.000,Oleosidade; Ressecamento; Acne; Manchas; Queda de cabelo,3 meses,Médio,Sim,Protetor solar; Sérum; Hidratante,Dieta; Skincare; Atividade física,SIM,R$101 – R$200,Não,Sim,Não
39,Ensino Médio completo,Divorciado,DF,Sim,4.000 – 5.000,Ressecamento; Oleosidade,2 anos,Médio,Sim,Sérum; Hidratante,Dieta; Atividade física,SIM,R$201 – R$300,Engenharia,Não,Não
39,Ensino Fundamental completo,Divorciado,RJ,Sim,4.000 – 5.000,Acne; Oleosidade; Manchas; Ressecamento,3 meses,Baixo,Sim,Protetor solar; Sérum; Hidratante,Dieta; Skincare; Atividade física,NÃO,Até R$100,Não,Não,Sim
23,Ensino Fundamental completo,Casado,PR,Sim,5.000 – 7.000,Acne; Queda de cabelo; Ressecamento; Oleosidade; Manchas,1 mês,Alto,Sim,Hidratante; Sérum; Protetor solar,Atividade física; Dieta; Skincare,SIM,R$301 – R$500,Não,Não,Sim
32,Ensino Superior completo,União Estável,BA,Sim,Até 2.000,Queda de cabelo,1 mês,Baixo,Sim,Protetor solar,Skincare,NÃO,R$201 – R$300,Direito,Não,Não
54,Ensino Fundamental completo,Casado,SP,Sim,3.000 – 4.000,Oleosidade; Acne; Queda de cabelo; Ressecamento; Manchas,2 anos,Médio,Sim,Sérum; Hidratante; Protetor solar,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Medicina,Sim,Não
50,Ensino Fundamental incompleto,União Estável,MG,Não,5.000 – 7.000,Ressecamento; Manchas; Oleosidade,1 ano,Alto,Não,Protetor solar; Hidratante; Sérum,Atividade física; Dieta; Skincare,SIM,R$301 – R$500,Direito,Não,Não
25,Ensino Superior completo,Divorciado,PR,Sim,5.000 – 7.000,Ressecamento; Queda de cabelo; Acne; Manchas,1 mês,Baixo,Sim,Hidratante; Protetor solar; Sérum,Dieta; Skincare; Atividade física,SIM,R$201 – R$300,Não,Não,Não
22,Ensino Médio completo,Casado,SP,Sim,3.000 – 4.000,Acne; Queda de cabelo; Manchas,3 meses,Alto,Sim,Sérum; Protetor solar; Hidratante,Atividade física; Dieta; Skincare,SIM,R$301 – R$500,Medicina,Sim,Não
21,Ensino Fundamental completo,Solteiro,GO,Sim,Acima de 7.000,Ressecamento,3 meses,Baixo,Não,Protetor solar,Skincare,NÃO,R$101 – R$200,Não,Não,Sim
23,Ensino Médio completo,Casado,MG,Sim,5.000 – 7.000,Manchas,6 meses,Médio,Não,Sérum,Atividade física,SIM,R$301 – R$500,Engenharia,Não,Sim
49,Ensino Superior completo,União Estável,MG,Não,3.000 – 4.000,Queda de cabelo; Manchas; Acne,1 ano,Médio,Não,Protetor solar; Sérum; Hidratante,Dieta; Skincare; Atividade física,NÃO,R$101 – R$200,Não,Não,Sim
47,Ensino Médio completo,União Estável,RJ,Sim,5.000 – 7.000,Ressecamento; Oleosidade; Queda de cabelo; Manchas,6 meses,Alto,Sim,Protetor solar; Hidratante; Sérum,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Não,Sim,Sim
52,Ensino Superior incompleto,Casado,SC,Sim,5.000 – 7.000,Acne,2 anos,Baixo,Não,Sérum,Atividade física,NÃO,Até R$100,Não,Sim,Não
33,Ensino Fundamental completo,União Estável,SP,Sim,4.000 – 5.000,Queda de cabelo,1 mês,Médio,Sim,Hidratante,Atividade física,NÃO,R$201 – R$300,Engenharia,Não,Sim
30,Ensino Superior completo,Divorciado,MG,Sim,3.000 – 4.000,Oleosidade; Ressecamento; Acne; Manchas; Queda de cabelo,6 meses,Alto,Sim,Hidratante; Sérum; Protetor solar,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Não,Sim,Sim
47,Ensino Médio completo,Casado,DF,Sim,3.000 – 4.000,Manchas; Queda de cabelo,6 meses,Médio,Não,Hidratante; Protetor solar,Atividade física; Dieta,SIM,R$201 – R$300,Direito,Sim,Sim
36,Ensino Superior completo,União Estável,SP,Sim,5.000 – 7.000,Oleosidade,2 anos,Médio,Sim,Sérum,Skincare,NÃO,Até R$100,Não,Não,Sim
34,Ensino Superior completo,Casado,BA,Sim,4.000 – 5.000,Ressecamento; Queda de cabelo; Manchas; Acne,3 meses,Baixo,Sim,Sérum; Protetor solar; Hidratante,Skincare; Dieta; Atividade física,SIM,R$201 – R$300,Não,Sim,Sim
36,Ensino Superior completo,Casado,DF,Não,5.000 – 7.000,Manchas; Oleosidade; Queda de cabelo; Ressecamento,3 meses,Alto,Sim,Hidratante; Protetor solar; Sérum,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Não,Não,Não
45,Ensino Médio completo,Solteiro,PR,Sim,5.000 – 7.000,Manchas; Ressecamento; Queda de cabelo; Oleosidade; Acne,2 anos,Baixo,Sim,Hidratante; Protetor solar; Sérum,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Direito,Sim,Sim
43,Ensino Médio completo,Casado,DF,Sim,Até 2.000,Oleosidade; Acne; Manchas; Ressecamento,3 meses,Baixo,Sim,Sérum; Hidratante; Protetor solar,Atividade física; Dieta; Skincare,NÃO,R$201 – R$300,Não,Não,Sim
54,Ensino Médio completo,Solteiro,PR,Sim,5.000 – 7.000,Ressecamento; Manchas; Acne; Oleosidade; Queda de cabelo,2 anos,Médio,Não,Hidratante; Sérum; Protetor solar,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Não,Sim,Não
43,Ensino Médio completo,União Estável,SC,Sim,3.000 – 4.000,Acne,3 meses,Médio,Sim,Hidratante,Skincare,NÃO,R$201 – R$300,Engenharia,Sim,Não
40,Ensino Médio completo,Solteiro,MG,Sim,5.000 – 7.000,Queda de cabelo,2 anos,Alto,Não,Hidratante,Atividade física,SIM,R$301 – R$500,Não,Não,Não
26,Ensino Superior completo,Solteiro,DF,Sim,5.000 – 7.000,Acne,3 meses,Alto,Sim,Hidratante,Atividade física,SIM,R$301 – R$500,Engenharia,Não,Não
29,Ensino Médio completo,Solteiro,BA,Não,3.000 – 4.000,Ressecamento,6 meses,Alto,Sim,Protetor solar,Skincare,SIM,R$201 – R$300,Não,Não,Sim
18,Ensino Superior incompleto,Divorciado,RJ,Sim,4.000 – 5.000,Manchas; Ressecamento,6 meses,Alto,Sim,Hidratante; Protetor solar,Skincare; Dieta,NÃO,R$101 – R$200,Medicina,Não,Não
18,Ensino Superior completo,Solteiro,MG,Não,2.000 – 3.000,Acne; Ressecamento,3 meses,Médio,Sim,Sérum; Hidratante,Atividade física; Skincare,NÃO,Até R$100,Não,Sim,Sim
51,Ensino Superior completo,Casado,SP,Sim,Até 2.000,Acne,2 anos,Baixo,Não,Sérum,Atividade física,NÃO,R$101 – R$200,Medicina,Sim,Não
49,Ensino Fundamental completo,Solteiro,GO,Não,3.000 – 4.000,Oleosidade; Queda de cabelo; Ressecamento; Manchas,6 meses,Alto,Sim,Protetor solar; Sérum; Hidratante,Dieta; Atividade física; Skincare,SIM,R$101 – R$200,Engenharia,Não,Sim
42,Ensino Superior completo,Casado,PR,Sim,3.000 – 4.000,Manchas; Queda de cabelo; Ressecamento; Acne; Oleosidade,1 mês,Baixo,Sim,Hidratante; Sérum; Protetor solar,Dieta; Skincare; Atividade física,NÃO,R$201 – R$300,Engenharia,Sim,Não
18,Ensino Médio completo,Solteiro,SP,Sim,Acima de 7.000,Oleosidade; Ressecamento; Queda de cabelo,3 meses,Médio,Não,Protetor solar; Sérum; Hidratante,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Medicina,Não,Não
33,Ensino Superior completo,Divorciado,SC,Sim,4.000 – 5.000,Ressecamento; Acne; Queda de cabelo; Oleosidade; Manchas,1 mês,Alto,Sim,Sérum; Hidratante; Protetor solar,Dieta; Atividade física; Skincare,SIM,R$101 – R$200,Direito,Sim,Sim
22,Ensino Superior completo,União Estável,PR,Não,3.000 – 4.000,Manchas; Queda de cabelo; Acne,1 mês,Médio,Não,Sérum; Hidratante; Protetor solar,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Não,Não,Sim
39,Ensino Superior completo,Solteiro,RJ,Não,5.000 – 7.000,Acne; Ressecamento; Manchas,1 ano,Alto,Não,Sérum; Hidratante; Protetor solar,Skincare; Dieta; Atividade física,NÃO,Até R$100,Não,Sim,Não
46,Ensino Superior completo,Solteiro,PR,Sim,2.000 – 3.000,Queda de cabelo,1 mês,Baixo,Sim,Protetor solar,Atividade física,NÃO,R$301 – R$500,Engenharia,Não,Sim
20,Ensino Fundamental incompleto,Divorciado,GO,Sim,Acima de 7.000,Acne; Manchas; Queda de cabelo,1 mês,Médio,Sim,Sérum; Protetor solar; Hidratante,Atividade física; Dieta; Skincare,SIM,R$301 – R$500,Engenharia,Sim,Sim
29,Ensino Médio completo,Solteiro,DF,Sim,5.000 – 7.000,Acne,1 ano,Baixo,Sim,Hidratante,Dieta,SIM,R$201 – R$300,Não,Sim,Sim
43,Ensino Superior completo,Casado,BA,Sim,5.000 – 7.000,Acne; Ressecamento,1 ano,Médio,Não,Hidratante; Protetor solar,Skincare; Dieta,NÃO,Até R$100,Engenharia,Não,Sim
33,Ensino Médio completo,Solteiro,DF,Sim,2.000 – 3.000,Manchas; Acne; Queda de cabelo; Oleosidade,1 ano,Alto,Sim,Sérum; Hidratante; Protetor solar,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Não,Sim,Não
54,Pós-graduação,Solteiro,MG,Não,4.000 – 5.000,Oleosidade; Queda de cabelo; Ressecamento,2 anos,Médio,Sim,Protetor solar; Sérum; Hidratante,Skincare; Atividade física; Dieta,NÃO,R$201 – R$300,Engenharia,Sim,Sim
39,Ensino Médio completo,União Estável,GO,Sim,4.000 – 5.000,Acne; Ressecamento; Oleosidade; Queda de cabelo,1 ano,Baixo,Sim,Hidratante; Sérum; Protetor solar,Dieta; Skincare; Atividade física,SIM,R$301 – R$500,Direito,Não,Não
46,Ensino Médio completo,União Estável,BA,Sim,5.000 – 7.000,Acne,2 anos,Baixo,Sim,Protetor solar,Dieta,NÃO,R$201 – R$300,Medicina,Não,Sim
31,Ensino Médio completo,Solteiro,GO,Sim,Até 2.000,Acne; Ressecamento; Manchas,3 meses,Baixo,Sim,Hidratante; Sérum; Protetor solar,Atividade física; Skincare; Dieta,NÃO,R$301 – R$500,Não,Não,Não
45,Ensino Médio completo,Divorciado,MG,Sim,3.000 – 4.000,Acne; Queda de cabelo; Oleosidade; Manchas; Ressecamento,2 anos,Médio,Não,Hidratante; Protetor solar; Sérum,Skincare; Atividade física; Dieta,NÃO,R$101 – R$200,Engenharia,Não,Não
22,Ensino Superior completo,União Estável,PR,Sim,Acima de 7.000,Manchas; Acne,3 meses,Alto,Sim,Protetor solar; Hidratante,Dieta; Atividade física,SIM,R$301 – R$500,Engenharia,Sim,Não
47,Ensino Superior completo,Solteiro,SC,Sim,4.000 – 5.000,Acne; Manchas,1 ano,Baixo,Não,Hidratante; Sérum,Skincare; Atividade física,SIM,R$301 – R$500,Não,Não,Não
22,Ensino Superior completo,União Estável,MG,Sim,3.000 – 4.000,Manchas; Queda de cabelo; Ressecamento,1 ano,Alto,Não,Hidratante; Protetor solar; Sérum,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Medicina,Não,Sim
29,Ensino Superior completo,Solteiro,MG,Não,2.000 – 3.000,Ressecamento; Oleosidade,3 meses,Alto,Sim,Protetor solar; Hidratante,Atividade física; Skincare,NÃO,R$101 – R$200,Direito,Não,Sim
33,Pós-graduação,União Estável,BA,Sim,Acima de 7.000,Queda de cabelo; Manchas; Oleosidade; Acne; Ressecamento,6 meses,Médio,Sim,Protetor solar; Sérum; Hidratante,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Não,Sim,Não
43,Ensino Superior completo,União Estável,RJ,Sim,Até 2.000,Oleosidade; Acne; Queda de cabelo; Ressecamento,2 anos,Médio,Sim,Hidratante; Sérum; Protetor solar,Atividade física; Skincare; Dieta,NÃO,R$201 – R$300,Não,Sim,Sim
43,Ensino Fundamental incompleto,Casado,DF,Sim,5.000 – 7.000,Queda de cabelo; Oleosidade; Acne; Manchas; Ressecamento,1 mês,Alto,Não,Protetor solar; Sérum; Hidratante,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Não,Sim,Sim
38,Ensino Superior completo,Solteiro,PR,Não,5.000 – 7.000,Oleosidade; Manchas,1 ano,Baixo,Sim,Sérum; Hidratante,Skincare; Dieta,NÃO,R$101 – R$200,Medicina,Sim,Não
53,Ensino Médio completo,Solteiro,MG,Não,3.000 – 4.000,Queda de cabelo; Oleosidade; Acne; Manchas,2 anos,Baixo,Não,Sérum; Hidratante; Protetor solar,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Direito,Não,Sim
50,Ensino Fundamental completo,Solteiro,SC,Sim,5.000 – 7.000,Oleosidade; Queda de cabelo; Acne; Ressecamento; Manchas,2 anos,Baixo,Não,Hidratante; Protetor solar; Sérum,Dieta; Atividade física; Skincare,NÃO,Até R$100,Engenharia,Sim,Sim
47,Ensino Superior completo,Solteiro,SP,Sim,2.000 – 3.000,Queda de cabelo,1 ano,Alto,Sim,Protetor solar,Skincare,NÃO,R$301 – R$500,Não,Sim,Sim
54,Ensino Médio completo,União Estável,PR,Não,3.000 – 4.000,Oleosidade,3 meses,Alto,Não,Hidratante,Dieta,SIM,R$301 – R$500,Engenharia,Não,Sim
40,Ensino Fundamental completo,Casado,RJ,Sim,5.000 – 7.000,Oleosidade; Ressecamento; Queda de cabelo; Manchas,1 ano,Alto,Sim,Protetor solar; Sérum; Hidratante,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Engenharia,Não,Não
27,Ensino Fundamental completo,Casado,GO,Sim,Acima de 7.000,Oleosidade; Manchas; Ressecamento; Acne,2 anos,Baixo,Não,Sérum; Protetor solar; Hidratante,Atividade física; Dieta; Skincare,SIM,R$201 – R$300,Medicina,Sim,Não
22,Ensino Fundamental incompleto,Divorciado,MG,Não,5.000 – 7.000,Manchas; Acne; Ressecamento; Queda de cabelo,6 meses,Médio,Sim,Protetor solar; Hidratante; Sérum,Skincare; Atividade física; Dieta,SIM,R$201 – R$300,Não,Não,Sim
53,Pós-graduação,Solteiro,SC,Não,4.000 – 5.000,Acne,3 meses,Baixo,Sim,Hidratante,Skincare,SIM,R$301 – R$500,Engenharia,Sim,Não
51,Ensino Fundamental incompleto,Divorciado,PR,Sim,2.000 – 3.000,Acne; Manchas; Queda de cabelo; Oleosidade; Ressecamento,1 ano,Baixo,Sim,Protetor solar; Hidratante; Sérum,Skincare; Atividade física; Dieta,NÃO,R$101 – R$200,Medicina,Sim,Não
48,Ensino Médio completo,União Estável,SC,Sim,Até 2.000,Ressecamento; Manchas; Queda de cabelo; Acne,1 mês,Médio,Não,Hidratante; Protetor solar; Sérum,Atividade física; Dieta; Skincare,NÃO,R$201 – R$300,Não,Sim,Não
27,Ensino Superior incompleto,Divorciado,SC,Sim,2.000 – 3.000,Queda de cabelo,1 ano,Alto,Sim,Protetor solar,Skincare,SIM,R$301 – R$500,Medicina,Não,Não
36,Ensino Médio completo,Solteiro,DF,Sim,2.000 – 3.000,Acne; Queda de cabelo; Oleosidade; Manchas,2 anos,Alto,Não,Protetor solar; Hidratante; Sérum,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Direito,Não,Sim
49,Pós-graduação,Casado,BA,Não,3.000 – 4.000,Queda de cabelo; Acne; Oleosidade; Ressecamento,2 anos,Médio,Sim,Hidratante; Protetor solar; Sérum,Atividade física; Dieta; Skincare,NÃO,R$101 – R$200,Não,Sim,Sim
18,Ensino Fundamental incompleto,Casado,GO,Não,3.000 – 4.000,Queda de cabelo; Ressecamento; Acne; Manchas,1 mês,Baixo,Sim,Sérum; Protetor solar; Hidratante,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Direito,Sim,Sim
22,Ensino Superior completo,Solteiro,RJ,Não,3.000 – 4.000,Oleosidade,3 meses,Baixo,Sim,Sérum,Dieta,SIM,R$301 – R$500,Não,Não,Não
21,Ensino Superior completo,União Estável,DF,Sim,3.000 – 4.000,Ressecamento; Queda de cabelo; Acne; Manchas; Oleosidade,2 anos,Médio,Sim,Hidratante; Sérum; Protetor solar,Skincare; Dieta; Atividade física,NÃO,Até R$100,Engenharia,Sim,Sim
33,Pós-graduação,Solteiro,PR,Sim,4.000 – 5.000,Oleosidade,3 meses,Alto,Sim,Sérum,Dieta,SIM,R$301 – R$500,Não,Não,Sim
41,Ensino Superior completo,União Estável,MG,Sim,5.000 – 7.000,Oleosidade,3 meses,Alto,Sim,Sérum,Atividade física,SIM,Até R$100,Não,Não,Sim
33,Ensino Superior completo,Casado,RJ,Sim,3.000 – 4.000,Queda de cabelo; Oleosidade; Manchas; Acne,1 ano,Médio,Não,Protetor solar; Sérum; Hidratante,Atividade física; Dieta; Skincare,SIM,R$201 – R$300,Medicina,Não,Não
19,Ensino Fundamental completo,União Estável,MG,Não,Acima de 7.000,Acne; Manchas; Oleosidade,3 meses,Médio,Sim,Sérum; Hidratante; Protetor solar,Dieta; Atividade física; Skincare,NÃO,Até R$100,Medicina,Não,Sim
45,Ensino Médio completo,Solteiro,SP,Sim,Acima de 7.000,Queda de cabelo; Oleosidade; Manchas,2 anos,Baixo,Sim,Protetor solar; Sérum; Hidratante,Skincare; Dieta; Atividade física,NÃO,Até R$100,Engenharia,Sim,Não
49,Ensino Médio completo,Solteiro,SC,Sim,2.000 – 3.000,Queda de cabelo; Oleosidade; Acne,2 anos,Baixo,Sim,Protetor solar; Sérum; Hidratante,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Engenharia,Não,Não
44,Pós-graduação,Solteiro,SP,Sim,5.000 – 7.000,Ressecamento,6 meses,Médio,Não,Sérum,Atividade física,NÃO,R$201 – R$300,Medicina,Não,Não
37,Ensino Médio completo,União Estável,BA,Não,5.000 – 7.000,Queda de cabelo; Ressecamento; Oleosidade; Manchas,3 meses,Baixo,Sim,Protetor solar; Sérum; Hidratante,Atividade física; Skincare; Dieta,NÃO,R$201 – R$300,Direito,Não,Não
41,Ensino Médio completo,União Estável,SC,Não,5.000 – 7.000,Queda de cabelo; Acne; Manchas,6 meses,Médio,Sim,Sérum; Protetor solar; Hidratante,Atividade física; Skincare; Dieta,NÃO,R$101 – R$200,Medicina,Sim,Não
29,Ensino Médio completo,União Estável,GO,Não,4.000 – 5.000,Ressecamento; Oleosidade,1 ano,Alto,Sim,Sérum; Protetor solar,Atividade física; Skincare,SIM,R$301 – R$500,Não,Sim,Sim
52,Ensino Fundamental completo,Casado,RJ,Sim,4.000 – 5.000,Oleosidade; Ressecamento,6 meses,Médio,Não,Protetor solar; Sérum,Dieta; Atividade física,SIM,R$301 – R$500,Não,Sim,Não
50,Ensino Médio completo,Divorciado,MG,Sim,4.000 – 5.000,Queda de cabelo; Oleosidade,3 meses,Baixo,Não,Hidratante; Sérum,Atividade física; Dieta,NÃO,R$201 – R$300,Não,Sim,Não
50,Mestrado,Divorciado,DF,Sim,5.000 – 7.000,Manchas; Oleosidade; Ressecamento; Acne; Queda de cabelo,2 anos,Baixo,Sim,Protetor solar; Sérum; Hidratante,Dieta; Skincare; Atividade física,SIM,R$101 – R$200,Engenharia,Sim,Não
54,Ensino Superior incompleto,Solteiro,BA,Sim,5.000 – 7.000,Acne; Queda de cabelo; Manchas; Oleosidade,1 ano,Médio,Sim,Protetor solar; Sérum; Hidratante,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Não,Não,Sim
29,Ensino Superior completo,Casado,GO,Sim,5.000 – 7.000,Ressecamento,3 meses,Médio,Não,Sérum,Dieta,NÃO,R$201 – R$300,Não,Sim,Sim
20,Ensino Superior completo,União Estável,MG,Sim,4.000 – 5.000,Queda de cabelo,1 ano,Médio,Não,Hidratante,Atividade física,NÃO,R$201 – R$300,Não,Sim,Sim
18,Ensino Médio completo,Solteiro,RJ,Sim,5.000 – 7.000,Manchas; Queda de cabelo; Acne; Ressecamento,1 mês,Médio,Não,Protetor solar; Hidratante; Sérum,Atividade física; Skincare; Dieta,SIM,R$101 – R$200,Medicina,Não,Sim
50,Ensino Fundamental completo,Casado,PR,Sim,2.000 – 3.000,Oleosidade; Manchas; Ressecamento; Queda de cabelo; Acne,3 meses,Médio,Não,Sérum; Hidratante; Protetor solar,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Não,Sim,Não
27,Ensino Médio completo,Solteiro,BA,Sim,2.000 – 3.000,Manchas; Ressecamento; Acne; Oleosidade,1 mês,Alto,Não,Protetor solar; Sérum; Hidratante,Dieta; Atividade física; Skincare,SIM,R$201 – R$300,Não,Sim,Não
46,Ensino Médio completo,Casado,SP,Sim,5.000 – 7.000,Queda de cabelo; Manchas; Ressecamento; Oleosidade; Acne,6 meses,Médio,Não,Protetor solar; Sérum; Hidratante,Dieta; Skincare; Atividade física,SIM,R$201 – R$300,Medicina,Não,Sim
30,Ensino Superior completo,Casado,SP,Sim,3.000 – 4.000,Manchas; Oleosidade; Queda de cabelo,3 meses,Alto,Sim,Hidratante; Protetor solar; Sérum,Dieta; Atividade física; Skincare,NÃO,R$101 – R$200,Engenharia,Sim,Não
29,Ensino Médio completo,Divorciado,DF,Sim,Até 2.000,Ressecamento; Oleosidade; Manchas,1 mês,Médio,Sim,Protetor solar; Hidratante; Sérum,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Não,Sim,Sim
48,Ensino Fundamental incompleto,Solteiro,MG,Sim,2.000 – 3.000,Oleosidade; Acne; Manchas; Queda de cabelo; Ressecamento,2 anos,Baixo,Sim,Protetor solar; Hidratante; Sérum,Dieta; Atividade física; Skincare,NÃO,R$101 – R$200,Medicina,Não,Sim
19,Ensino Superior completo,União Estável,MG,Sim,2.000 – 3.000,Manchas; Oleosidade; Ressecamento; Queda de cabelo,6 meses,Médio,Não,Hidratante; Sérum; Protetor solar,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Não,Sim,Sim
52,Pós-graduação,Divorciado,MG,Não,Acima de 7.000,Queda de cabelo; Acne; Manchas,3 meses,Médio,Não,Sérum; Hidratante; Protetor solar,Skincare; Dieta; Atividade física,SIM,R$201 – R$300,Direito,Sim,Não
40,Ensino Superior completo,Divorciado,BA,Não,5.000 – 7.000,Ressecamento; Manchas; Oleosidade; Queda de cabelo,3 meses,Alto,Não,Hidratante; Sérum; Protetor solar,Atividade física; Dieta; Skincare,NÃO,R$101 – R$200,Não,Não,Sim
34,Ensino Superior completo,União Estável,RJ,Sim,Acima de 7.000,Acne; Queda de cabelo; Manchas,2 anos,Alto,Sim,Protetor solar; Hidratante; Sérum,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Direito,Sim,Sim
43,Ensino Superior completo,Casado,PR,Sim,5.000 – 7.000,Ressecamento; Manchas; Acne; Queda de cabelo,2 anos,Alto,Sim,Sérum; Protetor solar; Hidratante,Skincare; Dieta; Atividade física,SIM,R$201 – R$300,Direito,Sim,Não
25,Ensino Médio completo,União Estável,SP,Sim,4.000 – 5.000,Ressecamento; Queda de cabelo; Manchas; Oleosidade,1 mês,Alto,Sim,Sérum; Hidratante; Protetor solar,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Engenharia,Sim,Não
46,Ensino Superior completo,Solteiro,GO,Sim,3.000 – 4.000,Manchas; Queda de cabelo,1 mês,Médio,Sim,Hidratante; Protetor solar,Dieta; Atividade física,SIM,R$301 – R$500,Não,Sim,Não
43,Ensino Fundamental completo,União Estável,SC,Não,5.000 – 7.000,Manchas; Acne; Oleosidade; Ressecamento; Queda de cabelo,1 mês,Médio,Não,Hidratante; Protetor solar; Sérum,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Medicina,Sim,Não
27,Ensino Superior completo,Casado,BA,Sim,2.000 – 3.000,Acne,1 ano,Médio,Não,Protetor solar,Skincare,NÃO,Até R$100,Não,Não,Não
43,Ensino Superior completo,União Estável,BA,Sim,Acima de 7.000,Ressecamento; Manchas; Oleosidade; Queda de cabelo; Acne,6 meses,Alto,Sim,Protetor solar; Sérum; Hidratante,Skincare; Dieta; Atividade física,SIM,R$301 – R$500,Direito,Sim,Não
51,Ensino Fundamental incompleto,Casado,RJ,Sim,5.000 – 7.000,Acne; Manchas; Ressecamento; Queda de cabelo,3 meses,Alto,Sim,Protetor solar; Hidratante; Sérum,Atividade física; Dieta; Skincare,SIM,R$201 – R$300,Engenharia,Não,Sim
